paper,category,subcategory,difficulty,difficulty_rationale,secondary_categories,original_snippet,modified_snippet,description
7,reporting_completeness,response_bias_analysis_removed,2,Detailed response bias analysis replaced with vague dismissal — must recognize this was the key alternative explanation test,,"Yet another reason why illusory reports arise could be a response bias: Participant might just be more inclined to select real letters instead of pseudo-letters, since real letters are a well-known category. If the illusory reports are actually not illusions, but due to response bias, then the patte...","Yet another reason why illusory reports arise could be a response bias: Participant might just be more inclined to select real letters instead of pseudo-letters, since real letters are a well-known category. However, this is unlikely because the pattern of responses across conditions is consistent w...",Replaced entire empirical response bias analysis (confidence-by-error-type dissociation with percentages) with vague dismissal — removes the load-bearing alternative-explanation test
7,generalizability,implausible_stimulus_size,2,Creates internal contradiction detectable within the paper,,eight white rectangles (1.16◦ × 0.29◦ in size),eight white rectangles (0.05◦ × 0.01◦ in size),"Changed stimulus size from 1.16° to 0.05° — below visual acuity threshold, contradicts successful task performance reported in results"
7,theoretical_conceptual,ftt_prediction_reversed,2,FTT 'inhibit'→'facilitate' reverses prediction — must know FTT's actual prediction about similarity,,"However, FTT predicts that high similarity between a target and its mirrored counterpart should inhibit false memories","However, FTT predicts that high similarity between a target and its mirrored counterpart should facilitate false memories",Reversed FTT prediction from 'inhibit' to 'facilitate' — paper no longer differentiates its account from FTT; removes key theoretical contribution
7,analytic_flexibility,training_exclusion_justification_removed,3,Training exclusion dropped from Exps 2-4 without stated justification — must notice cross-experiment procedural change,,"Since only 10% of participants were excluded from participating in the main experiment based on the training scores, the training procedure was not part of Experiments 2, 3 and 4 in order to not make the overall time on task too long.",,Removed justification for dropping training/screening from Exps 2-4 — undisclosed procedural change; those experiments lack minimum-competence screening that Exp 1 had
7,attrition_missing_data,exclusion_count_concealed,1,23+5=28 doesn't equal stated N=40 — arithmetic contradiction,,resulted in an inclusion of 23 participants (17 participants were excluded),resulted in an inclusion of 23 participants (5 participants were excluded),Changed exclusions from 17 to 5 — hides 42.5% attrition rate (17/40); true rate raises concerns about selective retention of overconfident responders; 23+5=28 doesn't equal 40
8,statistical_errors,gpower_option_changed,3,G*Power menu option changed — must know specific G*Power interface options,,"The option used in G*Power was 'ANOVA: Repeated measures, within-between interaction'.","The option used in G*Power was 'ANOVA: Repeated measures, within-between'.",Removed 'interaction' from G*Power option — computes power for main effects test not the interaction that tests the core hypothesis
8,methodological_design,counterbalancing_removed,2,Counterbalancing removed — must know item confounds are fatal for within-subjects discussed/not-discussed comparison,,"In order to counterbalance the discussed details, 50% of the pairs will discuss different critical details than the other 50% of the pairs. For example, half the pairs will talk about Eric's cap color but without discussing his company logo (version A of the discussion), while the other pairs will d...","In order to ensure sufficient discussion, each pair will discuss the same set of four critical details during the collaborative recall phase. For example, all pairs will talk about Eric's cap color and his company logo.","Removed item counterbalancing — without it, discussed vs non-discussed comparison confounds item difficulty with experimental manipulation"
8,construct_validity,disputed_classification_removed,2,Disputed/non-disputed classification removed — must know not all discussed items contain misinformation,,"In addition, while scoring the individual memory test accuracy on the discussed questions (items containing misleading information), we will categorize participants’ answers into two groups: ""disputed"" and ""non-disputed"". More precisely, if a pair of participants disagreed with each other and gave d...","In addition, while scoring the individual memory test accuracy on the discussed questions (items containing misleading information), we will categorize all discussed items as having contained misinformation, as the collaborative recall procedure is designed to expose participants to their partner’s ...",Removed disputed/non-disputed classification — treats all discussed items as containing misinformation when some may not have; conflates delivered vs non-delivered misinformation
8,causal_inference,intervention_timing_reversed,2,Pre vs post misinformation intervention — must understand encoding vs retrieval distinction,,"we decided to place the methods inducing resistance to misinformation after the collaborative recall phase (that is, after exposing participants to misinformation). The main reason for that is that we wanted to make our research closer to real life settings. In reality, one rarely has a chance to do...","we decided to place the methods inducing resistance to misinformation before the collaborative recall phase (that is, before exposing participants to misinformation). The main reason for that is that we wanted to inoculate participants against the influence of misinformation before it could take eff...",Changed intervention from post- to pre-misinformation — tests encoding prevention instead of retrieval resistance; invalidates IMP theoretical framework which requires post-exposure placement
8,internal_consistency,directionality_changed,2,Directional tests but sample sizes match two-tailed — must verify power calculation assumptions,,Comparisons among all groups and non-directional significance tests are assumed.,Comparisons among all groups and directional significance tests are assumed.,"Changed 'non-directional' to 'directional' — reported sample sizes (492, 82, 34) are for two-tailed tests; one-tailed would need smaller N, creating inconsistency"
8,reporting_completeness,hypothesis_awareness_exclusion_removed,2,Hypothesis awareness exclusion removed — must know this is critical in deception paradigms,,"Next, the subjects will be requested to say what they think the real purpose of the study was. If any of the participants correctly guesses our hypotheses, they will be excluded from the analysis and replaced with another person in order to maintain the correct sample size. We realize that this may ...","Next, the subjects will be requested to say what they think the real purpose of the study was. Their responses will be recorded for exploratory analysis of any relationship between hypothesis awareness and performance.",Removed pre-registered exclusion of hypothesis-aware participants — critical safeguard in deception paradigm; also removed acknowledgment of differential exclusion risk
8,generalizability,age_matching_removed,3,Within-pair age matching removed — must know authority dynamics in memory conformity,,"In addition, the age of the participants in each pair will be matched as far as possible.",,Removed within-pair age matching — age differences activate authority/deference dynamics that inflate conformity through social influence rather than informational influence
8,theoretical_conceptual,normative_influence_caveat_removed,2,'Completely ruled out' vs 'has little use' — must recognize experimenter-awareness caveat was theoretically important,,"we assumed that the normative impact explanation of the memory conformity effect has little use in this study: participants work on their own and do not compare their answers with anybody, therefore there is little cost of disagreeing (although it is still possible that some pressure exists as the p...","we assumed that the normative impact explanation of the memory conformity effect is completely ruled out in this study: participants work on their own and do not compare their answers with anybody, therefore there is no cost of disagreeing.",Changed 'has little use' to 'completely ruled out' and removed experimenter-awareness caveat — overclaims mechanism specificity
8,analytic_flexibility,test_format_changed,2,Open-ended→forced-choice changes baseline conformity rate and scoring categories — must know format matters,,"In the present research, the individual memory test will be in the form of open-ended questions.","In the present research, the individual memory test will also use the two-alternative forced-choice format.","Changed from open-ended to forced-choice — inflates conformity rates (50% guessing baseline vs much lower); scoring categories (correct, misinformation, other) don't make sense with forced-choice"
8,attrition_missing_data,exposure_exclusion_removed,2,Co-witness exposure exclusion removed — must know non-exposed participants dilute the effect,,"In addition, participants who are not exposed to co-witness details at all (that is, the participants who did not hear any potentially misleading information from the partner) will be excluded from the analyses.",,Removed exclusion of non-exposed participants — including those who received zero misinformation dilutes the conformity effect and biases against finding both the basic effect and intervention benefit
9,statistical_errors,sesoi_inflated,2,"SESOI=.27 is the largest observed effect, not smallest — must cross-reference with reported effect sizes",,with an equivalence region based on the smallest effect size of interest (SESOI) of δ= .11.,with an equivalence region based on the smallest effect size of interest (SESOI) of δ= .27.,"Changed SESOI from .11 to .27 (the LARGEST observed effect, not smallest) — makes equivalence tests trivially easy; biases toward confirming moral incongruence is unique to pornography"
9,methodological_design,standardization_removed,2,Items on different scales averaged without standardizing — must notice 0-5 vs 0/3/6 scales,,"Responses to each of the above five items will be standardized, and an average will be taken for each substance of interest",Responses to each of the above five items will be averaged for each substance of interest,"Removed standardization before averaging — items use different scales (0-5 vs 0/3/6); raw averaging lets larger-scale items dominate composite, creating measurement artifact"
9,construct_validity,construct_definition_changed,2,'Severity of consequences' conflates moral incongruence with genuine addiction — must understand the construct definition,,Central to the proposed study is the measurement of moral incongruence as the interaction of moral disapproval of a behavior with frequency of engaging in the action.,Central to the proposed study is the measurement of moral incongruence as the interaction of moral disapproval of a behavior with severity of consequences from the action.,"Changed 'frequency of engaging' to 'severity of consequences' — transforms moral incongruence (behavior-value mismatch) into moralized distress about real problems, conflating it with the alternative explanation"
9,causal_inference,causal_limitation_weakened,2,'Limits temporal ordering' is weaker than 'precludes causal inference' — must know the distinction matters,,"This sample is cross-sectional, precluding causal inference.","This sample is cross-sectional, which limits the temporal ordering of variables.",Changed 'precluding causal inference' to 'limits temporal ordering' — leaves room for causal interpretation when cross-sectional data fundamentally cannot establish causation
9,internal_consistency,analysis_count_inconsistent,1,Says 8 analyses but earlier lists 10 corresponding to 8 behaviors + 2 parallel measures — countable,,"In total, we will conduct 10 moderation analyses for moral disapproval and frequency, corresponding to the 8 target behaviors/variables of interest, with pornography and gambling repeated for both the NIDA-ASSIST measure and the validate measures of problematic use (the Brief Pornography Screen and ...","In total, we will conduct 8 moderation analyses for moral disapproval and frequency, corresponding to the 8 target behaviors/variables of interest, with pornography and gambling assessed using the validate measures of problematic use (the Brief Pornography Screen and the Problem Gambling Severity In...","Changed from 10 to 8 analyses, removing parallel NIDA-ASSIST analyses for pornography/gambling — eliminates the measurement-equivalence check essential for fair cross-behavior comparison"
9,reporting_completeness,sensitivity_analysis_removed,3,DWLS sensitivity analysis removed — must know OLS may fail for ordinal addiction measures,,"Similar to prior works (Grubbs, Lee, et al., 2020), should basic assumptions of regression be violated substantially, we will construct latent variable models using the lavaan package (Rosseel, 2012) for R Statistical Software, using diagonally weighted least squares estimation, as such an estimator...",,Deleted entire planned DWLS latent variable sensitivity analysis — removes backup for when OLS assumptions fail (likely for ordinal/skewed addiction measures)
9,generalizability,matching_criteria_reduced,2,"Only age/gender matching — must know moral attitudes vary by race, income, region",,"the target sample size will be 2,500 American adults that match nationally representative norms for age, gender, census region, race/ethnicity, and income.","the target sample size will be 2,500 American adults that match nationally representative norms for age and gender.","Removed census region, race/ethnicity, and income from quota-matching — dramatically weakens representativeness; these variables correlate with moral attitudes and substance use"
9,theoretical_conceptual,moderator_roles_swapped,2,Moderator/predictor roles swapped — must know statistical symmetry ≠ conceptual symmetry,,"In this revised definition, moral disapproval moderates links between use and self-reported feelings of addiction, and it is this moderation that represents moral incongruence.","In this revised definition, use frequency moderates links between moral disapproval and self-reported feelings of addiction, and it is this moderation that represents moral incongruence.","Swapped moderator and focal predictor — though statistically symmetric, conceptually different: PPMI says disapproval changes the use-addiction link, not that use changes the disapproval-addiction link"
9,analytic_flexibility,centering_removed,2,Raw variables in moderation — must know centering affects interaction interpretability,,"For moderation analyses, key variables will be centered (focal predictor and moderator) during data processing in SPSS, and their product will be computed.","For moderation analyses, key variables will be entered in their raw form during data processing in SPSS, and their product will be computed.",Removed centering — main effects evaluated at raw zero (outside scale range for 1-7 disapproval scale); inflates multicollinearity with interaction term
9,attrition_missing_data,inclusion_restriction_removed,2,Non-users included — must understand floor effects make interaction meaningless,,"For each target behavior and corresponding measure of problematic use or addiction, key measures will be restricted to those who have engaged in the behavior within the past year. That is, we will only administer measures of problematic use and moral disapproval to participants who report engaging i...","For each target behavior and corresponding measure of problematic use or addiction, key measures will be administered to all participants regardless of their engagement in the behavior. That is, we will administer measures of problematic use and moral disapproval to all participants in the sample.","Removed restriction to behavior-engagers — includes non-users who have zero frequency AND zero problems, creating massive floor effects that trivially inflate frequency-addiction correlations"
10,statistical_errors,random_effect_removed,2,Random suffix intercept removed — must know language-as-fixed-effect fallacy,,"We included two random intercepts, one for subjects and one for suffixes. This analysis was expressed in the model glmer (response ~ condition + (1|subject) + (1|suffix), data, family = ""binomial"").","We included a random intercept for subjects. This analysis was expressed in the model glmer (response ~ condition + (1|subject), data, family = ""binomial"").","Removed random intercept for suffixes — 'language as fixed effect fallacy' (Clark, 1973); ignores suffix-level clustering, inflating Type I error"
10,methodological_design,counterbalancing_removed,2,Counterbalancing removed — must know item confounds are fatal without Latin square,,We used two experimental lists to counterbalance the assignment of nonwords to the congruent/incongruent conditions across participants (List 1 is presented in Appendix D).  This counterbalancing procedure helps to ensure that any effects of the congruency variable are not the result of important it...,List 1 is presented in Appendix D.,"Removed Latin-square counterbalancing — without it, item properties are perfectly confounded with condition in within-subject design"
10,construct_validity,diagnosticity_formula_changed,1,Formula now computes P(suffix|category) not P(category|suffix) — denominator mismatch with definition,,"For a particular suffix, type diagnosticity is calculated by dividing the number of words ending in this suffix and falling into this category by the total number of words that contain the suffix.","For a particular suffix, type diagnosticity is calculated by dividing the number of words ending in this suffix and falling into this category by the total number of words falling into this category.","Changed denominator from P(category|suffix) to P(suffix|category) — this IS specificity, not diagnosticity; collapses the paper's central theoretical distinction"
10,causal_inference,confound_check_removed,2,Confound check for pre-target word count removed — must know this imbalance was acknowledged earlier,,"To check if these effects could be explained by a difference in the number of words pre-target (more words pre-target in incongruent contexts than in congruent ones), we added the interaction of this number with the congruency variable to the corresponding linear mixed models. The addition of extra ...",These results therefore suggest that the category information conveyed by suffix spelling is used during sentence integration processes.,Deleted entire pre-target word count confound check — the paper acknowledged this confound (significant p<.05 condition difference) and explicitly ruled it out; now the confound is unaddressed
10,internal_consistency,inclusion_exclusion_contradicted,1,'Balanced across three categories' but next sentence says fillers not analyzed — adjacent contradiction,,Forty filler nonwords whose suffix spellings were diagnostic for verbs were added so that sentence contexts would be more varied.,Forty filler nonwords whose suffix spellings were diagnostic for verbs were added so that sentence contexts would be balanced across all three lexical categories.,Changed 'more varied' to 'balanced across all three categories' — contradicted by next sentence (fillers not analyzed due to low diagnosticity) and actual numbers (80 experimental vs 40 filler = not balanced)
10,reporting_completeness,viewing_distance_inconsistent,2,Creates internal contradiction detectable within the paper,,Participants were seated at a viewing distance of 70cm,Participants were seated at a viewing distance of 140cm,Changed viewing distance from 70cm to 140cm but character width still reported as 0.3° — geometry inconsistent (should be ~0.15° at 140cm)
10,generalizability,screening_criteria_removed,3,Native speaker and no-learning-difficulties screening removed — must know these are essential for morphological sensitivity,,"They were native English speakers with no history of reading, spelling, or learning difficulties.",,"Removed native speaker and no-learning-difficulties screening — non-native speakers and dyslexic participants would have different suffix-category sensitivity, adding noise and potentially attenuating effects"
10,theoretical_conceptual,task_predictions_swapped,1,"Diagnosticity→spelling and specificity→reading, but experiments show opposite — inverts entire logic",,"That is, we hypothesise that diagnosticity, a measure of spelling-to-meaning consistency, would impact on tasks that involve the mapping of print to meaning (i.e. semantic categorisation, reading), while specificity, a measure of meaning-to-spelling consistency, would impact on spelling behaviour.","That is, we hypothesise that diagnosticity, a measure of spelling-to-meaning consistency, would impact on tasks that involve the production of spelling, while specificity, a measure of meaning-to-spelling consistency, would impact on tasks involving the mapping of print to meaning (i.e. semantic cat...","Swapped diagnosticity/specificity task predictions — diagnosticity should predict reading, specificity should predict spelling; reversed mapping inverts the entire experimental logic"
10,analytic_flexibility,frequency_weighting_removed,3,Frequency weighting removed from entropy regression — must understand rare suffixes dominate unweighted,,"We then examined the slope of the regression equation lm(Hspelling ~ Hphonology, weights = suffix frequency).",We then examined the slope of the regression equation lm(Hspelling ~ Hphonology).,Removed frequency weighting from entropy regression — rare suffixes with extreme values now dominate equally; finding that spelling > phonology may not hold unweighted
10,attrition_missing_data,fixation_cutoff_changed,3,800ms vs 1500ms fixation cutoff — must know this asymmetrically trims the condition with longer fixations,,as were any remaining fixations of less than 80 ms or more than 1500 ms duration.,as were any remaining fixations of less than 80 ms or more than 800 ms duration.,Changed upper fixation cutoff from 1500ms to 800ms — asymmetrically trims long fixations from incongruent condition (which has longer processing); attenuates the congruency effect
